,short_name,nationality,club,age,wage_eur,value_eur,defending_standing_tackle,dribbling,movement_reactions,movement_reactions,attacking_short_passing,mentality_vision,value_pred
213,E. Banega,Argentina,Sevilla FC,31,26000,19500000,79,82.0,78,78,86,84,20430000.0
215,S. Khedira,Germany,Juventus,32,135000,19500000,82,77.0,84,84,85,78,21172500.0
218,J. Henderson,England,Liverpool,29,115000,22000000,80,77.0,84,84,84,83,23777500.0
219,G. Sigurðsson,Iceland,Everton,29,120000,25500000,57,80.0,79,79,85,86,22407500.0
220,A. Ramsey,Wales,Juventus,28,140000,25500000,72,80.0,81,81,84,81,20093500.0
221,Illarramendi,Spain,Real Sociedad,29,42000,22000000,83,79.0,84,84,85,86,35262500.0
222,D. Blind,Netherlands,Ajax,29,31000,22000000,84,77.0,85,85,83,77,21687500.0
225,J. Cuadrado,Colombia,Juventus,31,135000,22500000,70,88.0,78,78,81,76,23987500.0
226,I. Gueye,Senegal,Paris Saint-Germain,29,100000,22000000,90,78.0,83,83,79,65,22200000.0
227,K. Kampl,Slovenia,RB Leipzig,28,77000,25500000,64,86.0,84,84,84,82,32985000.0
229,C. Aránguiz,Chile,Bayer 04 Leverkusen,30,86000,24000000,74,81.0,86,86,85,81,29255000.0
232,Danilo Pereira,Portugal,FC Porto,27,21000,24000000,84,74.0,75,75,83,73,20910500.0
240,M. Kovačić,Croatia,Chelsea,25,125000,29000000,72,86.0,76,76,88,83,26367500.0
243,N. Keïta,Guinea,Liverpool,24,95000,29000000,64,88.0,81,81,85,80,29950000.0
244,L. Torreira,Uruguay,Arsenal,23,80000,27000000,84,80.0,79,79,83,74,24425000.0
245,Rúben Neves,Portugal,Wolverhampton Wanderers,22,89000,29000000,74,76.0,78,78,85,85,24286500.0
253,A. Correa,Argentina,Atlético Madrid,24,59000,29000000,53,86.0,82,82,77,80,29587500.0
256,Gelson Martins,Portugal,AS Monaco,24,47000,29000000,46,86.0,81,81,76,78,25935000.0
258,T. Partey,Ghana,Atlético Madrid,26,68000,27000000,83,77.0,81,81,84,78,20975000.0
259,K. Demirbay,Germany,Bayer 04 Leverkusen,25,75000,27500000,59,84.0,84,84,85,86,30117500.0
269,Muniain,Spain,Athletic Club de Bilbao,26,35000,26000000,55,87.0,80,80,82,82,24392500.0
271,T. Delaney,Denmark,Borussia Dortmund,27,82000,23000000,83,75.0,81,81,77,74,12797500.0
281,T. Hazard,Belgium,Borussia Dortmund,26,90000,26000000,45,86.0,82,82,82,80,27107500.0
282,E. Forsberg,Sweden,RB Leipzig,27,67000,25500000,26,83.0,82,82,85,83,24382500.0
283,F. Kostić,Serbia,Eintracht Frankfurt,26,49000,26000000,72,81.0,79,79,75,79,22362500.0
284,M. Politano,Italy,Inter,25,77000,26500000,29,84.0,81,81,79,77,17386416.666666664
285,Rafa,Portugal,SL Benfica,26,21000,26000000,47,86.0,84,84,75,78,31422500.0
287,D. De Rossi,Italy,Boca Juniors,35,23000,7000000,82,69.0,80,80,81,73,9655000.0
289,Jesús Navas,Spain,Sevilla FC,33,26000,13500000,68,83.0,81,81,78,77,14595000.0
290,Santi Cazorla,Spain,Villarreal CF,34,45000,11000000,63,83.0,79,79,86,86,16150000.0
291,H. Herrera,Mexico,Atlético Madrid,29,70000,21500000,82,76.0,82,82,80,78,15767500.0
292,L. Biglia,Argentina,Milan,33,49000,11000000,78,81.0,80,80,86,80,16462500.0
295,Juan Mata,Spain,Manchester United,31,135000,19500000,31,83.0,85,85,84,84,22827500.0
302,Giuliano,Brazil,Al Nassr,29,59000,21500000,43,83.0,81,81,82,80,20022500.0
305,Marlos,Ukraine,Shakhtar Donetsk,31,1000,19500000,44,86.0,77,77,81,82,21705000.0
306,Taison,Brazil,Shakhtar Donetsk,31,1000,19500000,53,86.0,79,79,77,79,20362500.0
308,G. Bonaventura,Italy,Milan,29,56000,21500000,72,82.0,82,82,84,82,22377500.0
312,Ander Herrera,Spain,Paris Saint-Germain,29,100000,21500000,84,80.0,85,85,83,79,22250000.0
319,J. Lingard,England,Manchester United,26,135000,24000000,57,83.0,83,83,80,81,22627500.0
326,Rosberto Dourado,Brazil,Atlético Mineiro,31,46000,17000000,86,77.0,80,80,82,77,17715000.0
328,J. Sildero,Uruguay,Uruguay,27,0,0,35,82.0,82,82,83,83,5400000.0
330,H. Aouar,France,Olympique Lyonnais,21,59000,26000000,64,83.0,79,79,84,84,22867500.0
331,T. Ndombele,France,Tottenham Hotspur,22,87000,26000000,74,87.0,84,84,84,83,30725000.0
334,D. van de Beek,Netherlands,Ajax,22,24000,24500000,72,79.0,82,82,83,81,20602500.0
336,Dani Ceballos,Spain,Arsenal,22,82000,24000000,75,84.0,80,80,83,83,23477500.0
337,Pablo Fornals,Spain,West Ham United,23,82000,24500000,74,80.0,76,76,82,83,22000500.0
338,E. Can,Germany,Juventus,25,110000,23000000,82,79.0,78,78,83,78,21772500.0
341,P. Zieliński,Poland,Napoli,25,71000,22500000,72,84.0,76,76,84,83,22720000.0
343,G. Xhaka,Switzerland,Arsenal,26,94000,21500000,72,71.0,75,75,85,82,17368500.0
344,Rafinha,Brazil,FC Barcelona,26,160000,22000000,72,84.0,77,77,85,81,22495000.0
345,G. Kondogbia,Central African Rep.,Valencia CF,26,45000,21500000,80,79.0,83,83,83,79,21375000.0
346,M. Sabitzer,Austria,RB Leipzig,25,59000,22500000,56,80.0,84,84,78,79,21860000.0
349,A. Doucouré,France,Watford,26,73000,20000000,83,77.0,78,78,82,77,18187500.0
350,W. Ndidi,Nigeria,Leicester City,22,74000,20500000,85,74.0,79,79,77,67,17482500.0
355,R. Fraser,Scotland,Bournemouth,25,76000,21500000,53,83.0,77,77,78,80,19172500.0
357,R. Guerreiro,Portugal,Borussia Dortmund,25,79000,21500000,69,85.0,82,82,83,83,24310000.0
358,João Mário,Portugal,Inter,26,74000,21500000,70,83.0,73,73,84,82,19422500.0
359,Thiago Mendes,Brazil,Olympique Lyonnais,27,73000,19000000,77,79.0,81,81,83,80,20147500.0
361,M. Brozović,Croatia,Inter,26,68000,19500000,78,80.0,78,78,82,80,19327500.0
362,A. Ljajić,Serbia,Beşiktaş JK,27,80000,20500000,35,84.0,74,74,80,80,19108500.0
363,J. Corona,Mexico,FC Porto,26,19000,21000000,63,88.0,80,80,76,78,20652500.0
366,L. Milivojević,Serbia,Crystal Palace,28,66000,17500000,78,67.0,78,78,81,73,14994500.0
369,Quaresma,Portugal,Beşiktaş JK,35,59000,8000000,17,86.0,75,75,79,84,11429583.333333336
371,J. Milner,England,Liverpool,33,105000,10500000,80,77.0,84,84,84,79,15735000.0
374,M. Dembélé,Belgium,Guangzhou R&F FC,31,23000,15000000,80,87.0,81,81,85,80,20735000.0
375,Cesc Fàbregas,Spain,AS Monaco,32,50000,13500000,59,77.0,78,78,89,88,16969500.0
379,Renato Augusto,Brazil,Beijing Sinobo Guoan FC,31,28000,15000000,73,79.0,81,81,81,81,14727500.0
381,A. Guardado,Mexico,Real Betis,32,32000,13500000,74,82.0,81,81,83,84,16365000.0
384,D. Payet,France,Olympique de Marseille,32,46000,14000000,36,81.0,73,73,82,83,14164500.0
385,Beñat,Spain,Athletic Club de Bilbao,32,32000,13500000,70,74.0,78,78,87,85,15783500.0
389,M. Sissoko,France,Tottenham Hotspur,29,105000,17000000,82,79.0,82,82,82,76,17562500.0
390,M. Parolo,Italy,Lazio,34,54000,7000000,80,75.0,82,82,80,78,9490000.0
391,Fernando,Brazil,Sevilla FC,31,22000,13500000,83,70.0,77,77,80,68,12527500.0
392,N. Gaitán,Argentina,Chicago Fire,31,13000,15500000,42,82.0,82,82,81,81,15530000.0
394,Luiz Gustavo,Brazil,Olympique de Marseille,31,42000,13500000,79,69.0,83,83,75,69,11906583.333333336
396,N. Matić,Serbia,Manchester United,30,115000,14500000,83,72.0,77,77,82,73,14688000.0
398,H. Mkhitaryan,Armenia,Arsenal,30,94000,17000000,53,83.0,79,79,81,82,17192500.0
402,F. Vázquez,Argentina,Sevilla FC,30,24000,16500000,59,81.0,78,78,84,84,17002500.0
404,Dani García,Spain,Athletic Club de Bilbao,29,33000,17000000,84,75.0,79,79,82,79,17222500.0
406,Laure Santeiro,Brazil,Fluminense,31,40000,15500000,13,83.0,80,80,79,80,8749750.000000002
408,S. Ardero,Uruguay,Uruguay,31,0,0,13,83.0,80,80,79,80,8749750.000000002
412,N. Barella,Italy,Inter,22,60000,21500000,80,80.0,79,79,82,76,18022500.0
416,Y. Tielemans,Belgium,Leicester City,22,76000,20500000,73,78.0,75,75,84,82,17685000.0
418,Carlos Soler,Spain,Valencia CF,22,36000,21000000,65,78.0,80,80,84,83,19962500.0
420,H. Winks,England,Tottenham Hotspur,23,82000,20000000,74,83.0,80,80,84,81,20815000.0
423,Marcos Llorente,Spain,Atlético Madrid,24,46000,18500000,80,71.0,78,78,84,76,17239500.0
425,Melendo,Spain,RCD Espanyol,21,26000,20500000,58,82.0,71,71,83,79,18432500.0
433,Rony Lopes,Portugal,Sevilla FC,23,19000,20000000,28,83.0,76,76,78,77,17189750.0
435,T. Bakayoko,France,Chelsea,24,85000,18000000,84,74.0,77,77,78,73,15452500.0
436,M. Eggestein,Germany,SV Werder Bremen,22,31000,19500000,77,78.0,79,79,81,77,15972500.0
439,Sergi Darder,Spain,RCD Espanyol,25,33000,19000000,68,80.0,78,78,84,84,18435000.0
441,L. Paredes,Argentina,Paris Saint-Germain,25,79000,19000000,75,79.0,74,74,84,82,18545000.0
444,André Gomes,Portugal,Everton,25,76000,17500000,74,80.0,78,78,84,81,19332500.0
445,K. Baldé,Senegal,AS Monaco,24,40000,19500000,29,83.0,76,76,76,72,12761000.0
446,J. Weigl,Germany,Borussia Dortmund,23,61000,17500000,79,76.0,80,80,85,77,19760000.0
447,V. Rongier,France,FC Nantes,24,29000,19000000,84,80.0,75,75,82,77,18102500.0
451,A. Oxlade-Chamberlain,England,Liverpool,25,90000,18500000,70,84.0,78,78,80,81,17975000.0
452,Campaña,Spain,Levante UD,26,31000,18000000,75,77.0,74,74,83,83,15703500.0
458,J. Quintero,Colombia,River Plate,26,30000,18500000,30,83.0,72,72,80,86,17496250.0
459,Samu Castillejo,Spain,Milan,24,40000,19000000,43,82.0,81,81,79,79,18121125.0
464,M. Lazzari,Italy,Lazio,25,53000,18500000,51,81.0,75,75,77,75,15777500.0
465,M. Lanzini,Argentina,West Ham United,26,88000,18000000,36,85.0,72,72,80,79,17822500.0
469,H. Vanaken,Belgium,Club Brugge KV,26,30000,18000000,58,77.0,81,81,85,85,26040500.0
472,Gabriel,Brazil,SL Benfica,25,17000,18000000,77,79.0,77,77,79,78,15862500.0
474,J. Guilavogui,France,VfL Wolfsburg,28,51000,14500000,82,65.0,79,79,78,67,11065500.0
475,D. Klaassen,Netherlands,SV Werder Bremen,26,35000,17000000,74,75.0,80,80,81,79,14445000.0
477,C. Kramer,Germany,Borussia Mönchengladbach,28,34000,14500000,79,73.0,84,84,80,73,16205000.0
480,Manu Trigueros,Spain,Villarreal CF,27,39000,16500000,73,77.0,78,78,80,82,14542000.0
484,M. Vecino,Uruguay,Inter,27,63000,15000000,77,80.0,83,83,83,81,19962500.0
487,Joaquín,Spain,Real Betis,37,22000,5000000,47,82.0,82,82,83,83,9800000.0
491,J. Mascherano,Argentina,Hebei China Fortune FC,35,13000,4700000,81,68.0,78,78,79,68,9829500.0
504,E. Lamela,Argentina,Tottenham Hotspur,27,94000,15500000,54,82.0,77,77,81,81,15582500.0
505,Raúl García,Spain,Athletic Club de Bilbao,32,30000,11500000,74,77.0,82,82,82,82,12482500.0
507,D. Wass,Denmark,Valencia CF,30,42000,13500000,76,77.0,80,80,81,79,12060000.0
509,Pedro León,Spain,SD Eibar,32,30000,11500000,46,81.0,75,75,83,82,13127000.0
512,M. Díaz,Chile,Racing Club,32,25000,9500000,74,75.0,76,76,85,79,12725000.0
513,M. Valbuena,France,Olympiacos CFP,34,1000,7500000,26,82.0,77,77,82,77,10567500.0
516,E. Capoue,France,Watford,30,68000,12000000,79,73.0,81,81,79,71,11755000.0
524,S. Feghouli,Algeria,Galatasaray SK,29,77000,14500000,32,83.0,78,78,75,77,14280833.333333336
527,Y. M'Vila,France,AS Saint-Étienne,29,38000,12500000,76,74.0,78,78,83,74,13259000.0
530,S. Nzonzi,France,Galatasaray SK,30,68000,12000000,79,68.0,78,78,82,73,12894500.0
531,F. Coquelin,France,Valencia CF,28,43000,14500000,82,78.0,82,82,81,79,17382500.0
532,Hulk,Brazil,Shanghai SIPG FC,32,23000,11500000,41,80.0,82,82,78,75,13112500.0
533,K. Strootman,Netherlands,Olympique de Marseille,29,45000,14000000,81,73.0,81,81,85,79,20090000.0
536,E. Salvio,Argentina,Boca Juniors,28,31000,15000000,60,84.0,77,77,75,74,12792500.0
539,R. Pereyra,Argentina,Watford,28,78000,15000000,64,83.0,74,74,82,81,15082500.0
540,Y. Belhanda,Morocco,Galatasaray SK,29,77000,14500000,54,83.0,79,79,78,78,15877500.0
543,S. Verdi,Italy,Napoli,26,69000,16000000,48,83.0,78,78,79,80,16983750.0
546,Ibai Gómez,Spain,Athletic Club de Bilbao,29,31000,14500000,61,81.0,75,75,80,80,14400000.0
548,Cristian Tello,Spain,Real Betis,27,30000,15500000,49,81.0,74,74,78,73,13782500.0
554,Pozuelo,Spain,Toronto FC,27,12000,15500000,52,83.0,81,81,82,80,16877500.0
556,Bernard,Brazil,Everton,26,88000,16000000,39,85.0,80,80,77,75,17318833.333333332
557,T. Stepanenko,Ukraine,Shakhtar Donetsk,29,1000,12500000,79,69.0,78,78,81,69,12123000.0
559,I. Marcone,Argentina,Boca Juniors,29,29000,12500000,80,78.0,76,76,81,75,12880000.0
560,Jony,Spain,Lazio,27,56000,15500000,51,80.0,76,76,79,79,14572500.0
563,Everton Andrão,Brazil,Fluminense,35,24000,4700000,81,76.0,78,78,78,73,2832500.0
566,M. Baldona,Uruguay,Uruguay,35,0,0,81,76.0,78,78,78,73,2832500.0
569,R. Bentancur,Uruguay,Juventus,22,86000,20000000,72,81.0,76,76,85,76,18960000.0
570,Lucas Paquetá,Brazil,Milan,21,32000,20500000,65,81.0,80,80,78,74,17970000.0
574,Merino,Spain,Real Sociedad,23,29000,18500000,74,80.0,75,75,82,80,18217500.0
575,S. Berge,Norway,KRC Genk,21,14000,17000000,77,74.0,75,75,82,72,14124000.0
576,L. Pellegrini,Italy,Roma,23,41000,18500000,74,76.0,73,73,84,80,12823000.0
578,Dani Olmo,Spain,Dinamo Zagreb,21,1000,18500000,50,82.0,73,73,76,77,12739500.0
579,R. Zobnin,Russia,Spartak Moscow,25,1000,16000000,79,80.0,79,79,81,72,16810000.0
584,F. Kessié,Ivory Coast,Milan,22,38000,17500000,78,77.0,78,78,79,71,14370000.0
586,D. Samassékou,Mali,TSG 1899 Hoffenheim,23,32000,16000000,82,72.0,78,78,78,73,13285000.0
587,Marc Roca,Spain,RCD Espanyol,22,26000,16000000,76,73.0,77,77,83,80,11788500.0
589,V. Tsygankov,Ukraine,Dynamo Kyiv,21,1000,18000000,36,80.0,78,78,80,80,15704750.0
591,R. Loftus-Cheek,England,Chelsea,23,89000,17000000,67,81.0,70,70,84,80,16152500.0
592,S. Lobotka,Slovakia,RC Celta,24,25000,17000000,76,78.0,74,74,84,76,16072500.0
595,A. Golovin,Russia,AS Monaco,23,38000,17500000,69,82.0,74,74,79,76,15302500.0
601,T. Souček,Czech Republic,SK Slavia Praha,24,1000,15500000,79,72.0,76,76,78,70,14045000.0
603,J. Ward-Prowse,England,Southampton,24,53000,16500000,64,77.0,74,74,85,82,15226000.0
605,Otávio,Brazil,FC Porto,24,15000,17000000,41,84.0,79,79,77,78,16418833.333333332
607,A. Iwobi,Nigeria,Everton,23,72000,17000000,26,83.0,75,75,81,81,16242500.0
608,J. Gbamin,Ivory Coast,Everton,23,65000,15500000,80,74.0,76,76,78,72,10291000.0
611,J. Maddison,England,Leicester City,22,72000,17000000,40,79.0,69,69,83,84,13195500.0
613,Richarlison,Brazil,Everton,22,72000,17000000,44,81.0,79,79,76,74,16266500.0
614,S. Nakajima,Japan,FC Porto,24,15000,17000000,41,83.0,83,83,75,77,21788500.0
616,E. Dier,England,Tottenham Hotspur,25,77000,14500000,81,64.0,77,77,76,64,12688500.0
619,M. Sanson,France,Olympique de Marseille,24,36000,16000000,73,77.0,76,76,80,78,13800000.0
620,J. Lerma,Colombia,Bournemouth,24,55000,15000000,81,73.0,73,73,77,71,12900000.0
622,F. Grillitsch,Austria,TSG 1899 Hoffenheim,23,35000,16000000,71,77.0,82,82,84,82,18837500.0
624,R. Barkley,England,Chelsea,25,98000,16000000,59,80.0,76,76,83,80,15455000.0
631,M. Arnold,Germany,VfL Wolfsburg,25,48000,15500000,69,77.0,80,80,80,75,10426500.000000002
644,Fred,Brazil,Manchester United,26,110000,15000000,80,80.0,80,80,79,76,14925000.0
649,R. Malinovskyi,Ukraine,Atalanta,26,58000,15000000,68,77.0,74,74,82,77,13117000.0
656,L. Spinazzola,Italy,Roma,26,47000,15000000,78,80.0,76,76,79,72,14402500.0
659,D. Baselli,Italy,Torino,27,49000,14000000,65,81.0,75,75,82,80,14122500.0
660,T. Savanier,France,Montpellier HSC,27,38000,14000000,70,79.0,78,78,82,82,14257500.0
668,S. Kalou,Ivory Coast,Hertha BSC,33,34000,7500000,36,85.0,83,83,79,78,31233750.0
672,Borja Valero,Spain,Inter,34,65000,6500000,66,82.0,79,79,87,86,10630000.0
675,D. Valeri,Argentina,Portland Timbers,33,11000,7500000,40,79.0,79,79,77,80,11182666.666666664
678,A. Candreva,Italy,Inter,32,65000,10000000,63,80.0,71,71,78,75,10066500.0
681,A. Fernández,Argentina,Beijing Renhe FC,33,19000,7500000,76,78.0,75,75,81,79,9231000.0
685,Granero,Spain,RCD Espanyol,31,33000,11000000,76,76.0,77,77,84,79,12630500.0
687,R. Vormer,Netherlands,Club Brugge KV,31,28000,11000000,75,70.0,78,78,81,78,10511500.0
689,A. Lallana,England,Liverpool,31,89000,11000000,62,82.0,74,74,83,82,13482500.0
700,S. Lulić,Bosnia Herzegovina,Lazio,33,53000,7500000,78,78.0,78,78,78,72,9665000.0
702,S. Kagawa,Japan,Real Zaragoza,30,14000,12000000,53,84.0,80,80,83,78,25890000.0
703,J. Wilshere,England,West Ham United,27,83000,13000000,64,81.0,76,76,84,82,13928500.0
707,J. Pastore,Argentina,Roma,30,47000,11500000,59,82.0,73,73,84,82,13305000.0
709,F. Orellana,Chile,SD Eibar,33,28000,7500000,37,81.0,79,79,79,78,10500000.0
717,A. Yarmolenko,Ukraine,West Ham United,29,87000,12500000,35,82.0,82,82,78,78,13567500.0
719,E. Pérez,Argentina,River Plate,33,26000,6000000,75,75.0,78,78,82,78,11787500.0
723,Vitolo,Spain,Atlético Madrid,29,57000,12500000,21,79.0,79,79,77,75,11051500.0
724,M. Badelj,Croatia,Fiorentina,30,53000,10500000,76,73.0,78,78,82,77,10775500.0
728,Roque Mesa,Spain,CD Leganés,30,32000,10500000,75,77.0,80,80,81,78,11760000.0
730,T. Inui,Japan,SD Eibar,31,28000,11000000,39,84.0,76,76,76,75,13547500.0
731,D. Cheryshev,Russia,Valencia CF,28,41000,12500000,58,78.0,78,78,76,78,11479000.0
733,A. Samaris,Greece,SL Benfica,30,15000,10500000,82,70.0,76,76,76,66,10710000.0
740,Petros,Brazil,Al Nassr,30,42000,10500000,80,76.0,76,76,81,75,11642500.0
743,Rubén Alcaraz,Spain,Real Valladolid CF,28,26000,12500000,83,71.0,79,79,80,77,11374000.0
746,Melvin Parrela,Brazil,CSA - AL,31,17000,9500000,84,72.0,75,75,78,72,11382500.0
750,E. Riquero,Uruguay,Uruguay,31,0,0,81,76.0,78,78,80,77,3265000.0
754,I. Sarr,Senegal,Watford,21,47000,17000000,16,81.0,76,76,69,72,13826500.0
755,D. Rice,England,West Ham United,20,49000,15000000,79,68.0,74,74,79,70,13626500.0
756,F. Neuhaus,Germany,Borussia Mönchengladbach,22,26000,15500000,64,79.0,80,80,82,82,15297500.0
