,short_name,nationality,position,age,wage_eur,value_eur,mentality_positioning,attacking_finishing,movement_reactions,skill_ball_control,power_shot_power,value_pred
580,A. Saint-Maximin,France,delantero,22,45000,17500000,74,69,78,81,80,18252625.0
581,C. Pavón,Argentina,delantero,23,11000,17500000,76,72,77,76,83,14090500.0
583,C. Pulisic,United States,delantero,20,85000,18000000,73,68,77,83,77,14473500.0
590,De Tomás,Spain,delantero,24,16000,17500000,79,81,78,75,84,14999000.0
598,M. Rashica,Kosovo,delantero,23,32000,17500000,75,78,78,80,84,16305000.0
600,Wesley,Brazil,delantero,22,61000,17500000,78,74,74,80,84,9134500.0
604,A. Januzaj,Belgium,delantero,24,32000,17000000,76,79,76,82,74,15582000.0
609,Munir,Spain,delantero,23,20000,17000000,78,78,77,82,76,15509000.0
612,André Silva,Portugal,delantero,23,42000,17000000,84,80,81,80,76,16992500.0
615,Raphinha,Brazil,delantero,22,16000,17000000,79,70,80,80,80,18059000.0
617,L. Trossard,Belgium,delantero,24,53000,16500000,75,80,70,80,77,10191000.0
630,M. Batshuayi,Belgium,delantero,25,110000,16000000,83,81,79,80,81,16915000.0
634,Ricardo Horta,Portugal,delantero,24,18000,16000000,81,76,82,81,78,15416500.0
635,L. Alario,Argentina,delantero,26,70000,16000000,85,84,71,79,75,13093500.0
636,Mariano,Dominican Republic,delantero,25,145000,16000000,78,79,78,72,85,13381500.0
645,M. Samatta,Tanzania,delantero,26,23000,15500000,81,83,73,72,78,12905500.0
647,K. Toko-Ekambi,Cameroon,delantero,26,40000,15500000,81,81,76,79,80,15536000.0
651,J. King,Norway,delantero,27,77000,14500000,80,81,78,79,79,15962500.0
652,H. Seferović,Switzerland,delantero,27,18000,14500000,86,78,82,74,82,10360125.0
661,Leo Baptistao,Brazil,delantero,26,18000,15000000,83,74,82,79,79,16275000.0
664,Wu Lei,China PR,delantero,27,36000,14500000,82,78,79,81,77,14072500.0
665,David Villa,Spain,delantero,37,10000,4500000,83,83,80,83,78,9325000.0
666,B. Yılmaz,Turkey,delantero,33,76000,8000000,86,82,81,69,85,9959000.0
671,E. Lavezzi,Argentina,delantero,34,21000,6500000,82,80,81,83,79,20170000.0
680,K. Boateng,Ghana,delantero,32,63000,10000000,79,77,79,84,84,12284500.0
684,Ángel,Spain,delantero,32,31000,10000000,79,80,81,82,81,14185000.0
686,Éder,Italy,delantero,32,29000,10000000,83,78,78,83,79,12379000.0
690,A. Modeste,France,delantero,31,36000,11500000,80,80,82,75,80,9594125.0
691,M. Gradel,Ivory Coast,delantero,31,38000,11000000,78,80,78,82,76,13224000.0
695,N. Kalinić,Croatia,delantero,31,60000,11500000,87,82,78,78,77,12861000.0
696,C. Stuani,Uruguay,delantero,32,15000,10000000,82,80,81,77,77,10582500.0
699,Alex Teixeira,Brazil,delantero,29,30000,12500000,80,77,82,81,72,14391500.0
701,S. Rondón,Venezuela,delantero,29,20000,12500000,80,78,75,76,85,11828000.0
706,Iago Falqué,Spain,delantero,29,56000,12500000,80,75,78,85,70,14266500.0
710,Elkeson,Brazil,delantero,29,33000,12500000,77,75,75,77,86,8964000.0
711,Kike García,Spain,delantero,29,32000,12500000,84,78,77,80,82,15495500.0
716,I. Belfodil,Algeria,delantero,27,44000,13500000,78,80,73,79,82,10408625.0
718,W. Khazri,Tunisia,delantero,28,43000,13000000,81,79,79,81,85,15545500.0
726,Zé Luís,Cape Verde,delantero,28,19000,13000000,78,74,80,81,79,20760000.0
732,C. Bacca,Colombia,delantero,32,40000,10000000,87,80,78,77,78,11946500.0
736,A. Hamdallah,Morocco,delantero,28,52000,13000000,83,84,75,76,78,5965000.0
737,D. Benedetto,Argentina,delantero,29,46000,12500000,82,81,74,78,83,11640500.0
741,Dyego Sousa,Portugal,delantero,29,23000,12500000,81,83,77,77,83,11996000.0
742,Soares,Brazil,delantero,28,19000,13000000,83,77,78,76,77,11303000.0
748,Luimo Boas Santos,Brazil,delantero,31,48000,11500000,82,79,82,78,75,8108500.0
752,E. Aguerro,Uruguay,delantero,31,0,0,82,79,82,78,75,8108500.0
764,C. Ünder,Turkey,delantero,21,35000,15500000,73,71,71,82,82,12622375.0
765,M. Ødegaard,Norway,delantero,20,25000,14500000,62,64,74,87,76,13294000.0
769,J. Mateta,France,delantero,22,29000,15000000,81,81,76,72,73,11933500.0
775,Joelinton,Brazil,delantero,22,41000,14500000,77,80,72,78,81,10138500.0
784,G. Laborde,France,delantero,25,36000,14000000,77,79,77,74,78,11479000.0
785,R. De Paul,Argentina,delantero,25,21000,14000000,76,70,73,83,79,12222000.0
786,D. Selke,Germany,delantero,24,29000,14000000,81,80,78,76,79,12212500.0
788,D. Origi,Belgium,delantero,24,77000,14000000,78,77,77,76,81,8156500.0
804,B. Traoré,Burkina Faso,delantero,23,61000,13500000,78,75,72,86,76,14918000.0
809,A. Mitrović,Serbia,delantero,24,45000,13500000,82,79,77,76,82,8319500.0
820,D. Berardi,Italy,delantero,24,50000,13000000,77,74,73,85,83,13949750.0
823,Ayoze Pérez,Spain,delantero,25,79000,13000000,83,80,82,80,70,14884000.0
836,Bruma,Portugal,delantero,24,19000,13000000,71,71,68,82,79,11572125.0
841,A. Delort,Algeria,delantero,27,37000,12000000,79,78,72,73,85,11377500.0
844,V. Aboubakar,Cameroon,delantero,27,17000,12000000,76,78,74,79,80,10997500.0
845,M. Uth,Germany,delantero,27,36000,12000000,79,79,84,77,84,12428000.0
860,M. Diagne,Senegal,delantero,27,69000,12000000,82,81,76,74,81,10900000.0
864,Raffael,Brazil,delantero,34,33000,5500000,81,77,79,83,76,8018500.0
867,M. Zárate,Argentina,delantero,32,28000,8500000,78,80,76,85,81,17853500.0
869,G. Hoarau,France,delantero,35,21000,4800000,82,83,78,73,79,6726500.0
879,Gervinho,Ivory Coast,delantero,32,49000,8000000,78,72,76,78,69,7599500.0
890,F. Caicedo,Ecuador,delantero,30,52000,10000000,82,76,78,79,84,11952500.0
892,D. Mbokani,DR Congo,delantero,33,17000,6500000,85,77,74,82,77,9719000.0
894,J. Hernández,Mexico,delantero,31,82000,9500000,85,83,80,77,75,10372000.0
900,S. Jovetić,Montenegro,delantero,29,45000,10500000,80,79,76,83,81,11655000.0
904,T. Deeney,England,delantero,31,69000,9500000,79,77,78,77,86,11005000.0
908,N. Petersen,Germany,delantero,30,30000,10000000,84,82,83,70,79,7432375.0
910,S. Wagner,Germany,delantero,31,20000,9500000,84,83,78,74,83,11100500.0
914,D. Welbeck,England,delantero,28,72000,10500000,77,75,76,77,78,9570000.0
916,A. Barnes,England,delantero,29,44000,10500000,79,80,78,79,84,14740000.0
917,A. Dzyuba,Russia,delantero,30,0,0,79,79,75,77,78,3229000.0
921,Alan Carvalho,Brazil,delantero,29,28000,10500000,78,79,75,79,74,10240000.0
923,A. Mehmedi,Switzerland,delantero,28,52000,10500000,81,76,81,81,81,13509500.0
939,D. Ginczek,Germany,delantero,28,52000,10500000,79,78,76,73,85,10960500.0
948,A. Finnbogason,Iceland,delantero,30,30000,10000000,86,83,82,75,78,9792000.0
960,G. Defrel,France,delantero,28,48000,10500000,81,79,75,82,79,9712500.0
963,S. García,Uruguay,delantero,28,17000,10500000,83,82,72,74,82,9751500.0
964,Djaniny,Cape Verde,delantero,28,47000,10500000,78,79,76,78,76,9785500.0
966,L. Pavoletti,Italy,delantero,30,38000,10000000,83,82,77,74,80,9963500.0
973,G. Cano,Argentina,delantero,31,6000,9500000,81,83,76,78,82,10464000.0
982,O. Al Soma,Syria,delantero,30,45000,10000000,76,80,75,75,85,10658500.0
988,Júnior Moraes,Ukraine,delantero,32,1000,8500000,84,82,80,75,70,8417500.0
997,P. Cutrone,Italy,delantero,21,58000,14500000,80,80,74,76,74,12259500.0
999,M. Vargas,Argentina,delantero,22,27000,13500000,71,69,72,80,73,11484125.0
1014,G. Simeone,Argentina,delantero,23,47000,12500000,80,78,76,76,79,8402000.0
1015,A. Sanabria,Paraguay,delantero,23,18000,12500000,79,78,74,79,75,11510500.0
1016,R. Borré,Colombia,delantero,23,23000,12500000,81,76,73,76,75,10436500.0
1017,E. Ünal,Turkey,delantero,22,20000,12500000,74,76,73,75,85,11355500.0
1021,E. Boateng,Ghana,delantero,23,14000,12500000,73,77,72,74,78,10588500.0
1029,Galeno,Brazil,delantero,21,13000,12500000,76,68,79,79,74,13315000.0
1032,P. Sisto,Denmark,delantero,24,23000,12000000,73,76,71,80,79,11032000.0
1034,D. Calvert-Lewin,England,delantero,22,68000,12500000,77,70,75,76,77,10338500.0
1039,Borja Mayoral,Spain,delantero,22,24000,12500000,80,76,76,80,78,12327000.0
1040,Córdoba,Spain,delantero,22,23000,12000000,72,70,70,80,70,7282375.0
1050,F. Acheampong,Ghana,delantero,25,18000,12000000,76,78,76,74,79,8935000.0
1054,A. Petagna,Italy,delantero,24,16000,12000000,79,77,73,80,80,10887500.0
1064,M. Niang,Senegal,delantero,24,39000,12000000,78,74,67,82,86,11528375.0
1068,B. Fernández,Argentina,delantero,24,9000,12000000,80,78,74,76,83,10686000.0
1083,I. Bebou,Togo,delantero,25,36000,11000000,74,74,73,78,66,9310500.0
1102,Paulinho,Portugal,delantero,26,17000,11000000,80,79,76,77,77,9786000.0
1104,Trezeguet,Egypt,delantero,24,52000,11000000,69,75,69,78,76,9709500.0
1107,C. Wood,New Zealand,delantero,27,39000,10500000,79,77,75,74,80,7978000.0
1112,Juanmi,Spain,delantero,26,26000,10500000,82,82,81,79,71,15276500.0
1120,N. Füllkrug,Germany,delantero,26,31000,10500000,82,79,74,74,79,9321500.0
1123,Rubén Sobrino,Spain,delantero,27,36000,10500000,75,78,73,78,76,10297000.0
1127,M. Meza,Argentina,delantero,26,45000,10500000,68,73,70,79,76,9856500.0
1128,K. Lasagna,Italy,delantero,26,20000,10500000,80,78,76,79,72,12229500.0
1133,Jô,Brazil,delantero,32,11000,7000000,79,78,73,76,78,7481500.0
1137,K. Huntelaar,Netherlands,delantero,35,17000,4100000,84,85,78,72,78,8421500.0
1142,D. Cvitanich,Argentina,delantero,35,18000,4100000,83,79,81,83,74,13544000.0
1146,V. Ibišević,Bosnia Herzegovina,delantero,34,31000,4700000,83,80,83,76,82,8099500.0
1147,G. Pellè,Italy,delantero,33,23000,5500000,84,77,82,74,80,9028625.0
1148,B. Wright-Phillips,England,delantero,34,11000,4700000,85,81,83,70,78,7370875.0
1152,I. Scocco,Argentina,delantero,34,26000,4700000,81,79,75,82,82,7066750.0
1155,G. Murray,England,delantero,35,39000,4100000,87,84,84,74,78,7620500.0
1160,M. Berg,Sweden,delantero,32,0,0,83,77,75,73,79,3290500.0
1167,L. Rémy,France,delantero,32,41000,7000000,80,79,75,74,77,7513500.0
1171,G. Sio,Ivory Coast,delantero,30,22000,8500000,76,77,71,76,77,7773166.666666668
1175,M. Dossevi,Togo,delantero,31,32000,8000000,76,64,74,78,71,7608500.0
1180,Alan Kardec,Brazil,delantero,30,13000,8500000,78,78,75,73,78,8559500.0
1183,O. Ighalo,Nigeria,delantero,30,20000,8500000,84,76,78,76,73,8235500.0
1188,M. Suárez,Argentina,delantero,31,26000,8000000,81,77,79,82,80,15560000.0
1190,G. Bou,Argentina,delantero,29,11000,9000000,78,77,74,77,80,8802000.0
1195,T. Pukki,Finland,delantero,29,53000,9000000,84,81,81,76,75,9250000.0
1198,Johnathan,Brazil,delantero,29,20000,9000000,75,78,69,74,79,8397000.0
1201,L. Rodríguez,Argentina,delantero,34,17000,4700000,81,80,79,82,80,17530000.0
1202,C. Tosun,Turkey,delantero,28,80000,9000000,78,77,76,75,82,8777500.0
1203,G. Burgstaller,Austria,delantero,30,34000,8500000,80,78,80,72,79,8369625.0
1205,Y. El Arabi,Morocco,delantero,32,1000,7000000,73,80,74,82,77,8657000.0
1209,R. Funes Mori,Argentina,delantero,28,47000,9000000,80,78,78,72,72,8138125.0
1211,Sergio León,Spain,delantero,30,27000,8500000,78,79,76,77,80,8218500.0
1212,Lucas Pérez,Spain,delantero,30,27000,8500000,78,77,77,79,82,10404500.0
1214,Wilson Eduardo,Angola,delantero,28,18000,9000000,78,76,77,78,83,9517500.0
1231,Roger,Spain,delantero,28,28000,9000000,83,80,75,74,80,8363500.0
1236,F. Ferreyra,Argentina,delantero,28,32000,9000000,80,80,75,76,75,10671500.0
1243,R. Ábila,Argentina,delantero,29,27000,9000000,81,80,73,76,83,9365000.0
1244,Sergi Guardiola,Spain,delantero,28,24000,9000000,76,78,74,79,78,9640000.0
1248,Formosandrinho,Brazil,delantero,27,26000,9500000,75,76,73,73,85,9795000.0
1255,M. Kean,Italy,delantero,19,43000,14500000,78,77,72,78,72,12777500.0
1256,Rodrygo,Brazil,delantero,18,47000,14000000,80,74,77,76,71,11141500.0
1271,B. Embolo,Switzerland,delantero,22,25000,12000000,78,74,74,74,76,9913000.0
1274,T. Abraham,England,delantero,21,67000,12000000,78,78,74,73,76,10251500.0
1275,D. Malen,Netherlands,delantero,20,15000,12000000,67,78,72,78,75,10889500.0
1279,F. Chalov,Russia,delantero,21,1000,12000000,78,79,77,77,70,8227000.0
1284,I. Pussetto,Argentina,delantero,23,17000,11500000,79,78,68,77,74,6477500.0
1288,K. Dolberg,Denmark,delantero,21,16000,11500000,72,79,68,77,86,9881625.0
1290,J. Brekalo,Croatia,delantero,21,33000,11500000,68,63,76,79,70,10072000.0
1296,M. Terrier,France,delantero,22,53000,11500000,79,78,75,77,77,9450000.0
1304,J. Augustin,France,delantero,22,42000,11000000,81,80,71,81,76,11102000.0
1310,P. Schick,Czech Republic,delantero,23,35000,11000000,76,75,72,82,72,9786500.0
1325,Y. En-Nesyri,Morocco,delantero,22,27000,10500000,78,77,74,73,75,7697500.0
1330,M. Cornet,Ivory Coast,delantero,22,53000,10500000,77,77,71,74,80,8356000.0
1331,Gonçalo Paciência,Portugal,delantero,24,31000,10500000,75,77,74,76,77,9877500.0
1334,L. Waldschmidt,Germany,delantero,23,23000,10500000,80,78,74,73,81,9262000.0
1344,M. Livaja,Croatia,delantero,25,1000,10000000,74,76,73,79,80,10506000.0
1354,F. Kamano,Guinea,delantero,23,29000,10000000,76,76,74,75,74,9145500.0
1361,J. Locadia,Netherlands,delantero,25,46000,10000000,71,74,74,74,84,8510000.0
1364,J. Córdoba,Colombia,delantero,26,29000,9500000,73,73,75,72,86,8122000.0
1371,F. Di Francesco,Italy,delantero,25,16000,9500000,74,60,72,82,74,9203125.0
1380,F. Andone,Romania,delantero,26,48000,9500000,80,75,79,75,77,9409000.0
1401,D. Ings,England,delantero,26,53000,9000000,78,76,74,76,74,8560000.0
1402,M. Gabbiadini,Italy,delantero,27,35000,9000000,79,79,74,79,82,9426625.0
1404,J. Guidetti,Sweden,delantero,27,25000,9000000,76,75,75,76,82,8540000.0
1407,F. Klaus,Germany,delantero,26,43000,9000000,74,73,75,76,75,8384500.0
1410,J. Campbell,Costa Rica,delantero,27,32000,9000000,78,73,70,78,80,8066000.0
1415,Luiz Phellype,Brazil,delantero,25,14000,9500000,80,76,77,74,85,9889000.0
1422,J. Defoe,England,delantero,36,40000,2800000,83,84,77,76,81,6642000.0
1428,J. Briand,France,delantero,33,33000,4800000,79,78,74,69,77,5952000.0
1437,Soldado,Spain,delantero,34,23000,4100000,79,79,74,76,78,4927500.0
1439,M. Gómez,Germany,delantero,33,29000,4800000,83,76,76,69,82,4823000.0
1441,J. Sand,Argentina,delantero,38,16000,2800000,83,81,81,75,77,9838500.0
1443,R. Palacio,Argentina,delantero,37,25000,2800000,80,75,77,84,70,6170500.0
1462,J. Rodriguez,England,delantero,29,38000,7500000,78,75,76,73,74,7339625.0
1468,Adrián,Spain,delantero,31,32000,7000000,78,76,74,84,77,8612000.0
1469,J. Altidore,United States,delantero,29,10000,7500000,77,77,69,71,81,7273500.0
1473,O. Toivonen,Sweden,delantero,32,12000,6000000,83,79,74,76,75,7145500.0
