,short_name,nationality,club,age,wage_eur,value_eur,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,value_pred
201,Casillas,Spain,FC Porto,38,11000,2600000,85.0,75.0,61.0,84.0,55.0,86.0,5376000.0
202,R. Jarstein,Norway,Hertha BSC,34,33000,11500000,79.0,82.0,76.0,84.0,43.0,86.0,14526500.0
206,K. Schmeichel,Denmark,Leicester City,32,82000,15500000,82.0,77.0,79.0,88.0,58.0,79.0,28720000.0
211,Rui Patrício,Portugal,Wolverhampton Wanderers,31,82000,16500000,84.0,80.0,77.0,82.0,55.0,81.0,16460000.0
223,L. Hrádecký,Finland,Bayer 04 Leverkusen,29,67000,18500000,85.0,79.0,69.0,86.0,41.0,82.0,25907500.0
242,T. Strakosha,Albania,Lazio,24,39000,22000000,84.0,78.0,75.0,87.0,44.0,79.0,21342500.0
248,A. Onana,Cameroon,Ajax,23,18000,22000000,84.0,80.0,86.0,83.0,63.0,76.0,21642500.0
250,A. Areola,France,Paris Saint-Germain,26,71000,21000000,85.0,79.0,80.0,84.0,55.0,78.0,21160000.0
251,M. Perin,Italy,Juventus,26,90000,21000000,82.0,82.0,71.0,87.0,56.0,79.0,20962500.0
257,B. Lecomte,France,AS Monaco,28,42000,20000000,82.0,78.0,78.0,83.0,42.0,81.0,19332500.0
264,Pacheco,Spain,Deportivo Alavés,27,27000,18500000,81.0,79.0,70.0,83.0,45.0,83.0,17410000.0
267,David Soria,Spain,Getafe CF,26,26000,19500000,83.0,81.0,71.0,83.0,41.0,82.0,19142500.0
268,Sergio Asenjo,Spain,Villarreal CF,30,33000,17000000,84.0,82.0,77.0,81.0,56.0,80.0,17590000.0
272,O. Baumann,Germany,TSG 1899 Hoffenheim,29,39000,18000000,82.0,80.0,70.0,84.0,49.0,79.0,17492500.0
286,Pepe Reina,Spain,Milan,36,26000,3700000,79.0,82.0,82.0,81.0,57.0,82.0,4676500.0
293,L. Fabiański,Poland,West Ham United,34,75000,9500000,80.0,83.0,70.0,84.0,48.0,82.0,9917500.0
294,E. Viviano,Italy,Sporting CP,33,15000,12000000,83.0,84.0,76.0,83.0,32.0,81.0,20157500.0
324,Raphaelito Anjos,Brazil,Grêmio,31,32000,14000000,79.0,84.0,77.0,78.0,42.0,83.0,4739000.0
333,A. Cragno,Italy,Cagliari,25,30000,18000000,84.0,78.0,69.0,88.0,39.0,76.0,18822500.0
342,G. Rulli,Argentina,Montpellier HSC,27,32000,16000000,83.0,77.0,77.0,86.0,51.0,75.0,16197500.0
351,T. Horn,Germany,1. FC Köln,26,28000,15500000,82.0,80.0,79.0,84.0,48.0,78.0,16737500.0
364,Jordi Masip,Spain,Real Valladolid CF,30,21000,14000000,82.0,82.0,72.0,84.0,65.0,77.0,18572500.0
365,T. Vaclík,Czech Republic,Sevilla FC,30,18000,14000000,82.0,72.0,74.0,85.0,37.0,82.0,13625000.0
376,A. Consigli,Italy,Sassuolo,32,48000,11000000,81.0,82.0,72.0,83.0,40.0,80.0,11580000.0
386,Adán,Spain,Atlético Madrid,32,46000,11000000,79.0,82.0,78.0,81.0,55.0,82.0,10510000.0
388,F. Muslera,Uruguay,Galatasaray SK,33,59000,9500000,81.0,75.0,75.0,83.0,61.0,81.0,9227500.0
415,M. Maignan,France,LOSC Lille,23,28000,16000000,78.0,77.0,78.0,83.0,46.0,78.0,15415000.0
427,D. Livaković,Croatia,Dinamo Zagreb,23,1000,15500000,80.0,78.0,74.0,82.0,50.0,79.0,15010000.0
431,O. Vlachodimos,Greece,SL Benfica,25,12000,14500000,84.0,73.0,67.0,86.0,43.0,76.0,12893000.0
456,E. Andrada,Argentina,Boca Juniors,28,24000,13500000,80.0,77.0,80.0,81.0,44.0,80.0,13092500.0
460,W. Benítez,Argentina,OGC Nice,26,30000,13500000,79.0,79.0,74.0,82.0,48.0,79.0,13965000.0
466,J. Zoet,Netherlands,PSV,28,18000,13000000,79.0,77.0,77.0,82.0,50.0,79.0,12997500.0
467,M. Ryan,Australia,Brighton & Hove Albion,27,43000,12500000,81.0,75.0,82.0,83.0,52.0,78.0,12497500.0
485,M. Dúbravka,Slovakia,Newcastle United,30,37000,11500000,77.0,80.0,81.0,81.0,46.0,79.0,10627500.0
486,M. Dmitrović,Serbia,SD Eibar,27,22000,12000000,76.0,79.0,78.0,81.0,37.0,81.0,11941500.0
489,Moyá,Spain,Real Sociedad,35,17000,4000000,84.0,74.0,81.0,79.0,39.0,80.0,13468000.0
492,Diego López,Spain,RCD Espanyol,37,17000,1500000,75.0,82.0,74.0,76.0,44.0,82.0,1451875.0
493,I. Akinfeev,Russia,PFC CSKA Moscow,33,1000,8000000,77.0,72.0,78.0,84.0,50.0,82.0,9440000.0
496,B. Costil,France,FC Girondins de Bordeaux,31,30000,9500000,81.0,77.0,79.0,80.0,51.0,79.0,9485000.0
498,B. Foster,England,Watford,36,36000,2500000,79.0,79.0,73.0,81.0,49.0,78.0,10702500.0
499,T. Heaton,England,Aston Villa,33,50000,8000000,79.0,78.0,74.0,82.0,55.0,81.0,8652500.0
500,S. Mandanda,France,Olympique de Marseille,34,32000,6500000,80.0,79.0,74.0,81.0,48.0,79.0,12351500.0
508,S. Romero,Argentina,Manchester United,32,85000,9000000,79.0,76.0,81.0,83.0,45.0,79.0,13010000.0
511,D. Ospina,Colombia,Napoli,30,51000,10000000,83.0,73.0,78.0,85.0,34.0,78.0,10962500.0
518,R. Fährmann,Germany,Norwich City,30,43000,10000000,82.0,79.0,44.0,84.0,43.0,79.0,12155500.0
537,D. Subašić,Croatia,AS Monaco,34,34000,6500000,79.0,75.0,76.0,81.0,53.0,80.0,8302500.0
558,F. Armani,Argentina,River Plate,32,22000,9000000,78.0,75.0,70.0,86.0,40.0,81.0,9270000.0
565,J. Serendero,Uruguay,Uruguay,31,0,0,78.0,81.0,77.0,77.0,42.0,80.0,553000.0
572,A. Lafont,France,FC Nantes,20,15000,15500000,80.0,77.0,71.0,83.0,46.0,76.0,12965000.0
627,L. Karius,Germany,Beşiktaş JK,26,52000,11500000,82.0,74.0,78.0,82.0,54.0,76.0,11945000.0
628,N. Pope,England,Burnley,27,32000,11000000,78.0,80.0,75.0,79.0,48.0,80.0,7448000.0
648,A. Lunev,Russia,Russia,27,0,0,80.0,73.0,65.0,85.0,56.0,77.0,321250.0
667,A. Mirante,Italy,Roma,35,22000,3400000,80.0,78.0,65.0,78.0,43.0,79.0,3816000.0
682,N. Guzmán,Argentina,Tigres U.A.N.L.,33,56000,7000000,78.0,76.0,70.0,79.0,52.0,80.0,6790000.0
697,S. Ulreich,Germany,FC Bayern München,30,68000,8500000,79.0,71.0,68.0,85.0,40.0,79.0,8007500.0
704,Guaita,Spain,Crystal Palace,32,45000,7500000,80.0,80.0,77.0,80.0,52.0,76.0,8265000.0
714,Herrerín,Spain,Athletic Club de Bilbao,31,21000,8000000,81.0,78.0,84.0,75.0,43.0,78.0,7847500.0
725,C. Tătărușanu,Romania,Olympique Lyonnais,33,52000,7000000,79.0,77.0,75.0,81.0,44.0,78.0,7287500.0
747,Gabri Prestão,Brazil,Internacional,27,24000,9000000,81.0,75.0,71.0,82.0,60.0,77.0,4343000.0
751,L. Sáreda,Uruguay,Uruguay,27,0,0,81.0,75.0,71.0,82.0,60.0,77.0,4343000.0
753,A. Meret,Italy,Napoli,22,36000,14000000,79.0,74.0,70.0,82.0,45.0,77.0,12504000.0
782,J. Butland,England,Stoke City,26,29000,10000000,80.0,74.0,70.0,82.0,56.0,78.0,9660000.0
792,J. Musso,Argentina,Udinese,25,14000,10000000,80.0,77.0,74.0,81.0,44.0,79.0,9705000.0
807,José Sá,Portugal,Olympiacos CFP,26,1000,9500000,79.0,76.0,68.0,80.0,45.0,76.0,9250000.0
808,A. Selikhov,Russia,Spartak Moscow,25,1000,10000000,79.0,81.0,78.0,75.0,41.0,77.0,9487500.0
814,M. Sels,Belgium,RC Strasbourg Alsace,27,24000,9000000,80.0,74.0,73.0,80.0,36.0,77.0,9330000.0
842,Joel Robles,Spain,Real Betis,29,20000,8500000,83.0,72.0,76.0,84.0,48.0,73.0,8915000.0
850,A. Schwolow,Germany,SC Freiburg,27,20000,8500000,78.0,76.0,71.0,80.0,37.0,74.0,8107500.0
861,G. Ochoa,Mexico,Club América,33,41000,5500000,77.0,69.0,75.0,83.0,49.0,79.0,5840500.0
865,Andrés Fernández,Spain,Villarreal CF,32,25000,6500000,80.0,75.0,68.0,79.0,56.0,76.0,6647500.0
875,I. Khune,South Africa,Kaizer Chiefs,32,1000,6500000,75.0,74.0,90.0,80.0,35.0,76.0,6947500.0
887,S. Mignolet,Belgium,Club Brugge KV,31,19000,6500000,79.0,72.0,62.0,80.0,51.0,75.0,4488500.0
899,Guilherme,Russia,Lokomotiv Moscow,33,1000,5500000,82.0,73.0,72.0,80.0,39.0,78.0,11772500.0
907,O. Karnezis,Greece,Napoli,33,44000,5500000,78.0,76.0,72.0,79.0,39.0,77.0,5844500.0
915,R. Zieler,Germany,Hannover 96,30,25000,7000000,76.0,73.0,70.0,81.0,48.0,78.0,7192500.0
933,M. Hitz,Switzerland,Borussia Dortmund,31,49000,6500000,80.0,77.0,63.0,80.0,44.0,79.0,6623000.0
955,A. Marchesín,Argentina,FC Porto,31,11000,6500000,77.0,75.0,74.0,81.0,51.0,79.0,6707500.0
967,R. Olsen,Sweden,Roma,29,33000,7500000,78.0,77.0,76.0,78.0,36.0,78.0,6986000.0
981,G. Arias,Chile,Racing Club,31,18000,6500000,79.0,73.0,74.0,81.0,37.0,80.0,6812500.0
983,M. Campaña,Uruguay,Independiente,30,18000,7000000,79.0,75.0,78.0,80.0,45.0,79.0,7320000.0
993,E. Audero,Italy,Sampdoria,22,21000,11500000,80.0,73.0,73.0,80.0,52.0,74.0,10872500.0
1019,P. Bernardoni,France,Nîmes Olympique,22,15000,9500000,78.0,74.0,73.0,84.0,29.0,76.0,9190000.0
1072,Cláudio Ramos,Portugal,CD Tondela,27,7000,8000000,81.0,75.0,65.0,79.0,52.0,73.0,7862500.0
1074,T. Koubek,Czech Republic,FC Augsburg,26,19000,8000000,78.0,77.0,72.0,78.0,41.0,75.0,5755500.0
1090,E. Mendy,Senegal,Stade Rennais FC,27,30000,8000000,77.0,73.0,70.0,78.0,34.0,76.0,7845000.0
1094,M. Bizot,Netherlands,AZ Alkmaar,28,10000,7500000,80.0,74.0,66.0,77.0,46.0,74.0,7557500.0
1099,B. Reynet,France,Toulouse Football Club,28,23000,7500000,76.0,73.0,75.0,80.0,45.0,77.0,7500000.0
1101,Sergio Rico,Spain,Sevilla FC,25,12000,8000000,77.0,74.0,77.0,80.0,47.0,74.0,7860000.0
1111,Renan Ribeiro,Brazil,Sporting CP,29,11000,7000000,81.0,70.0,67.0,80.0,49.0,75.0,6829500.0
1124,Y. Bounou,Morocco,Girona FC,28,9000,7500000,75.0,77.0,75.0,76.0,35.0,75.0,7452500.0
1130,A. Paschalakis,Greece,PAOK,29,1000,7000000,81.0,68.0,68.0,81.0,50.0,74.0,7255000.0
1134,A. Pyatov,Ukraine,Shakhtar Donetsk,35,1000,2400000,75.0,69.0,82.0,78.0,44.0,80.0,2847500.0
1136,Iván Cuéllar,Spain,CD Leganés,35,14000,2400000,74.0,76.0,78.0,79.0,50.0,73.0,7350000.0
1138,J. Hart,England,Burnley,32,27000,5500000,74.0,75.0,67.0,81.0,58.0,75.0,5632500.0
1157,C. Bravo,Chile,Manchester City,36,47000,1500000,77.0,76.0,84.0,77.0,56.0,75.0,1911500.0
1161,R. Gurtner,France,Amiens SC,32,15000,5500000,78.0,75.0,74.0,79.0,45.0,75.0,7325000.0
1174,Roberto,Spain,West Ham United,33,52000,4800000,80.0,70.0,73.0,82.0,47.0,74.0,9282500.0
1186,Douglas,Brazil,Vitória Guimarães,36,6000,1500000,78.0,75.0,71.0,77.0,37.0,74.0,2013250.0
1217,M. Esser,Germany,Hannover 96,31,23000,5500000,77.0,74.0,64.0,82.0,41.0,75.0,5611500.0
1234,C. Vargas,Colombia,Club Atlas,30,17000,6000000,77.0,74.0,69.0,81.0,45.0,76.0,6257500.0
1240,M. Sportiello,Italy,Atalanta,27,36000,6500000,77.0,75.0,68.0,79.0,43.0,77.0,6585000.0
1257,A. Lunin,Ukraine,Real Valladolid CF,20,10000,11000000,74.0,71.0,76.0,79.0,29.0,77.0,10352500.0
1283,P. Gollini,Italy,Atalanta,24,28000,8500000,77.0,72.0,67.0,78.0,47.0,76.0,8275000.0
1287,Álex Remiro,Spain,Real Sociedad,24,16000,8500000,78.0,72.0,78.0,77.0,43.0,74.0,8140000.0
1292,Z. Steffen,United States,Fortuna Düsseldorf,24,18000,8500000,76.0,72.0,74.0,84.0,53.0,73.0,8530000.0
1300,Rubén Blanco,Spain,RC Celta,23,14000,8000000,79.0,75.0,73.0,74.0,53.0,76.0,7815000.0
1302,A. Gunn,England,Southampton,23,29000,8000000,76.0,73.0,70.0,79.0,49.0,74.0,7820000.0
1316,T. Didillon,France,RSC Anderlecht,23,12000,8000000,77.0,72.0,68.0,79.0,55.0,75.0,6041000.0
1328,Y. Mvogo,Switzerland,RB Leipzig,25,30000,7500000,80.0,74.0,71.0,79.0,42.0,71.0,7346000.0
1346,Matheus,Brazil,SC Braga,26,11000,7000000,79.0,73.0,71.0,78.0,46.0,76.0,7280000.0
1357,Aitor,Spain,Levante UD,28,18000,7000000,76.0,74.0,67.0,79.0,55.0,75.0,6895000.0
1372,A. Aguerre,Argentina,Newell's Old Boys,28,15000,7000000,77.0,74.0,63.0,79.0,46.0,73.0,6983000.0
1373,G. Herrera,Argentina,Club Atlético Talleres,27,13000,7000000,75.0,73.0,71.0,77.0,49.0,76.0,6798500.0
1374,A. Blake,Jamaica,Philadelphia Union,28,7000,7000000,78.0,71.0,68.0,83.0,46.0,74.0,7035000.0
1385,L. Skorupski,Poland,Bologna,28,24000,6500000,80.0,75.0,54.0,81.0,51.0,75.0,6218000.0
1386,A. Hansen,Norway,Rosenborg BK,29,6000,6500000,78.0,68.0,70.0,80.0,36.0,76.0,6606000.0
1389,L. Unnerstall,Germany,PSV,28,14000,6500000,76.0,75.0,72.0,77.0,33.0,74.0,6184500.0
1394,Jaume,Spain,Valencia CF,28,24000,6500000,74.0,73.0,75.0,82.0,58.0,72.0,6139000.0
1396,A. McCarthy,England,Southampton,29,38000,6000000,77.0,75.0,64.0,80.0,57.0,75.0,5905000.0
1398,L. Chichizola,Argentina,Getafe CF,29,18000,6000000,77.0,77.0,68.0,78.0,52.0,75.0,6027500.0
1403,H. Tekin,Turkey,Fenerbahçe SK,30,41000,6000000,77.0,72.0,72.0,80.0,38.0,73.0,6312000.0
1421,S. Proto,Belgium,Lazio,36,20000,1300000,75.0,73.0,73.0,77.0,47.0,78.0,1613750.0
1429,Gomes,Brazil,Watford,38,27000,775000,79.0,71.0,58.0,80.0,46.0,75.0,1009625.0
1435,S. Kırıntılı,Turkey,Atiker Konyaspor,34,14000,3400000,76.0,73.0,68.0,79.0,49.0,76.0,3949500.0
1450,S. Bolat,Turkey,Royal Antwerp FC,30,10000,5000000,70.0,79.0,77.0,78.0,43.0,75.0,5004500.0
1453,J. Orozco,Mexico,Santos Laguna,33,16000,4200000,76.0,71.0,82.0,76.0,60.0,77.0,4267000.0
1458,Marcelo Grohe,Brazil,Al Ittihad,32,27000,4700000,75.0,73.0,67.0,79.0,37.0,77.0,4815500.0
1460,K. Vermeer,Netherlands,Feyenoord,33,11000,4200000,78.0,68.0,66.0,81.0,57.0,76.0,4148500.0
1480,Fabricio,Spain,Fulham,31,31000,4900000,75.0,77.0,74.0,76.0,56.0,73.0,5377500.0
1490,Beto,Portugal,Göztepe SK,37,12000,775000,79.0,69.0,79.0,75.0,40.0,75.0,1228125.0
1518,E. Berisha,Albania,SPAL,30,11000,5000000,76.0,76.0,67.0,78.0,28.0,75.0,4861750.0
1532,S. Padt,Netherlands,FC Groningen,29,9000,5500000,76.0,74.0,68.0,77.0,38.0,75.0,5243000.0
1542,Adrián,Spain,Liverpool,32,52000,4700000,79.0,72.0,68.0,80.0,45.0,72.0,5176500.0
1592,M. Díaz,Argentina,Boca Juniors,33,17000,4200000,75.0,73.0,62.0,76.0,39.0,81.0,3542750.0
1597,Fred Aníbão,Brazil,Atlético Paranaense,27,12000,5500000,71.0,77.0,76.0,77.0,32.0,72.0,4237500.0
1598,Nelsildo Reis,Brazil,Botafogo,31,17000,4900000,76.0,77.0,77.0,74.0,52.0,76.0,4081000.0
1605,D. Boyko,Ukraine,Dynamo Kyiv,31,1000,4900000,77.0,69.0,68.0,78.0,48.0,74.0,5008000.0
1616,I. Radu,Romania,Genoa,22,10000,9500000,79.0,69.0,72.0,80.0,40.0,74.0,9310000.0
1628,A. Nübel,Germany,FC Schalke 04,22,17000,8500000,75.0,69.0,77.0,81.0,47.0,74.0,8707500.0
1630,D. Henderson,England,Sheffield United,22,20000,8500000,75.0,71.0,72.0,76.0,49.0,73.0,8205000.0
1646,F. Müller,Germany,1. FSV Mainz 05,21,12000,8000000,75.0,72.0,71.0,79.0,43.0,73.0,6285000.0
1660,Tiago Sá,Portugal,SC Braga,24,9000,7500000,75.0,73.0,71.0,76.0,44.0,73.0,7082000.0
1718,E. Martínez,Argentina,Arsenal,26,46000,6500000,75.0,74.0,76.0,76.0,58.0,73.0,6549500.0
1722,S. Johnstone,England,West Bromwich Albion,26,29000,6500000,79.0,74.0,70.0,77.0,41.0,73.0,6698000.0
1743,Miguel Silva,Portugal,Vitória Guimarães,24,7000,6500000,77.0,73.0,59.0,76.0,49.0,73.0,6376000.0
1752,Gabriel,Brazil,Lecce,26,13000,6500000,77.0,73.0,68.0,79.0,36.0,73.0,5802000.0
1763,A. Martín Arias,Argentina,Gimnasia y Esgrima La Plata,26,11000,6500000,81.0,68.0,76.0,77.0,51.0,73.0,6157250.0
1782,A. Gomis,Senegal,SPAL,25,10000,6000000,77.0,74.0,70.0,75.0,42.0,75.0,3859500.0
1786,P. Gazzaniga,Argentina,Tottenham Hotspur,27,50000,6000000,76.0,74.0,84.0,78.0,64.0,75.0,5854750.0
1812,Yan Junling,China PR,Shanghai SIPG FC,28,13000,6000000,73.0,71.0,70.0,79.0,48.0,75.0,5922500.0
1819,V. Barkas,Greece,AEK Athens,25,1000,6000000,71.0,75.0,74.0,75.0,34.0,77.0,5676000.0
1821,N. Etheridge,Philippines,Cardiff City,29,21000,5500000,77.0,67.0,61.0,77.0,52.0,76.0,5349500.0
1832,C. Mathenia,Germany,1. FC Nürnberg,27,11000,5500000,76.0,70.0,64.0,79.0,45.0,74.0,5363500.0
1834,L. Kalinić,Croatia,Aston Villa,29,38000,5500000,80.0,74.0,43.0,78.0,35.0,75.0,5616500.0
1836,J. Lössl,Denmark,Everton,30,46000,5000000,74.0,76.0,67.0,77.0,32.0,74.0,4996500.0
1841,M. Günok,Turkey,Medipol Başakşehir FK,30,24000,5000000,73.0,72.0,79.0,75.0,56.0,76.0,4852500.0
1855,S. Lung,Romania,Kayserispor,30,11000,5000000,74.0,71.0,69.0,76.0,36.0,75.0,4924000.0
1881,A. McGregor,Scotland,Rangers FC,37,22000,675000,74.0,72.0,66.0,79.0,37.0,74.0,4798000.0
1882,A. Boruc,Poland,Bournemouth,39,23000,675000,76.0,75.0,65.0,75.0,38.0,77.0,719250.0
1885,J. Hansen,Denmark,FC Midtjylland,34,16000,2900000,75.0,71.0,75.0,75.0,42.0,74.0,2746000.0
1890,W. Caballero,Argentina,Chelsea,37,37000,675000,74.0,72.0,71.0,74.0,45.0,76.0,3815000.0
1892,Rafael,Brazil,Cagliari,37,14000,675000,76.0,71.0,63.0,76.0,36.0,76.0,1229625.0
1893,M. Barovero,Argentina,Monterrey,35,18000,1800000,74.0,70.0,64.0,78.0,35.0,78.0,1960000.0
1895,M. Barbosa,Argentina,Villarreal CF,34,21000,2900000,76.0,72.0,76.0,75.0,43.0,74.0,2870000.0
1898,R. Özcan,Austria,Bayer 04 Leverkusen,35,23000,1800000,73.0,71.0,71.0,75.0,51.0,76.0,1974375.0
1901,J. Corona,Mexico,Cruz Azul,38,12000,675000,72.0,77.0,68.0,73.0,39.0,78.0,873375.0
1910,Sergio,Spain,RC Celta,32,16000,4000000,75.0,65.0,75.0,81.0,43.0,76.0,6580000.0
1914,Cássio,Brazil,Al Taawoun,38,11000,675000,76.0,74.0,68.0,75.0,37.0,73.0,740375.0
1920,D. Randolph,Republic of Ireland,Middlesbrough,32,24000,4000000,76.0,72.0,67.0,76.0,43.0,73.0,5971000.0
1921,W. Hennessey,Wales,Crystal Palace,32,34000,4000000,75.0,75.0,80.0,71.0,41.0,75.0,3631750.0
1928,A. Begović,Bosnia Herzegovina,Bournemouth,32,39000,4000000,76.0,74.0,72.0,75.0,48.0,74.0,3980500.0
1935,Kiko Casilla,Spain,Leeds United,32,40000,4000000,74.0,76.0,72.0,74.0,46.0,73.0,4045500.0
1943,T. Kraft,Germany,Hertha BSC,30,19000,4500000,79.0,74.0,60.0,83.0,48.0,65.0,4352500.0
1945,D. Vukovic,Australia,KRC Genk,34,12000,2900000,74.0,70.0,63.0,77.0,50.0,78.0,2579375.0
1954,S. Grytebust,Norway,FC København,29,16000,4700000,75.0,71.0,66.0,79.0,41.0,74.0,4793500.0
1968,R. Cota,Mexico,Club León,31,20000,4300000,75.0,70.0,67.0,78.0,57.0,79.0,3978000.0
1981,V. Babacan,Turkey,Medipol Başakşehir FK,30,24000,4500000,75.0,74.0,68.0,75.0,56.0,77.0,4452000.0
1982,C. Álvarez,Argentina,Real Zaragoza,33,8000,3600000,75.0,73.0,71.0,78.0,48.0,76.0,3921000.0
2001,L. Sepe,Italy,Parma,28,29000,4900000,74.0,76.0,61.0,79.0,47.0,73.0,4989000.0
2022,R. Gikiewicz,Poland,1. FC Union Berlin,31,26000,4300000,76.0,73.0,75.0,78.0,28.0,74.0,4724500.0
2093,Y. Lodygin,Russia,Gazişehir Gaziantep F.K.,29,12000,4700000,78.0,72.0,73.0,82.0,44.0,69.0,5064500.0
2101,Simão Donatinho,Brazil,Cruzeiro,35,13000,1800000,76.0,70.0,77.0,75.0,44.0,75.0,1927000.0
2107,Kaíquão Castro,Brazil,Fluminense,35,13000,1800000,77.0,76.0,61.0,73.0,36.0,72.0,2553625.0
2117,F. Niță,Romania,Sparta Praha,31,1000,4300000,75.0,73.0,69.0,76.0,28.0,77.0,4905500.0
2119,P. Dárenas,Uruguay,Uruguay,35,0,0,77.0,76.0,61.0,73.0,36.0,72.0,2553625.0
2174,A. Rossi,Argentina,Club Atlético Lanús,23,10000,6500000,73.0,69.0,68.0,75.0,41.0,77.0,6082500.0
2179,J. Bijlow,Netherlands,Feyenoord,21,6000,6500000,76.0,70.0,77.0,75.0,43.0,70.0,6167500.0
2264,Bruno Varela,Portugal,Ajax,24,10000,5500000,77.0,71.0,63.0,76.0,40.0,74.0,5263500.0
2274,T. Kaminski,Belgium,KAA Gent,26,14000,5000000,73.0,74.0,67.0,75.0,46.0,72.0,4896000.0
2276,J. Rodríguez,Mexico,Guadalajara,26,24000,5000000,78.0,70.0,66.0,75.0,57.0,74.0,4854000.0
2278,B. Hamid,United States,DC United,28,6000,5000000,75.0,70.0,70.0,76.0,41.0,73.0,3009000.0
2279,F. Rønnow,Denmark,Eintracht Frankfurt,26,21000,5000000,74.0,70.0,66.0,77.0,46.0,74.0,4855500.0
2285,S. Dioudis,Greece,Panathinaikos FC,26,1000,5000000,77.0,71.0,67.0,78.0,43.0,73.0,5629500.0
2290,D. Heuer Fernandes,Portugal,Hamburger SV,26,10000,5000000,75.0,72.0,76.0,78.0,43.0,69.0,4852000.0
2298,R. Rey,Argentina,Pachuca,28,15000,5000000,76.0,70.0,69.0,78.0,48.0,75.0,5006500.0
2300,C. Stanković,Austria,FC Red Bull Salzburg,26,22000,5000000,77.0,71.0,64.0,77.0,44.0,72.0,5114000.0
2310,Charles,Brazil,Clube Sport Marítimo,25,7000,5000000,75.0,69.0,63.0,78.0,30.0,72.0,4929000.0
2315,H. Lindner,Austria,Austria,28,0,0,79.0,68.0,64.0,78.0,42.0,69.0,249800.0
2334,Cho Hyun Woo,Korea Republic,Daegu FC,27,5000,4700000,75.0,71.0,59.0,78.0,50.0,74.0,4701000.0
